archivo_entrada,algoritmo,n,tipo,dominio,muestra,tiempo_us,tiempo_ms,memoria_kb,resultado_correcto,archivo_salida
1000_ascendente_D7_a.txt,patience,1000,ascendente,D7,a,5751,5.75161,0,true,data/array_output/1000_ascendente_D7_a_patience.txt
1000_ascendente_D7_a.txt,stdsort,1000,ascendente,D7,a,497,0.497251,0,true,data/array_output/1000_ascendente_D7_a_stdsort.txt
1000_ascendente_D7_b.txt,merge,1000,ascendente,D7,b,378,0.378666,0,true,data/array_output/1000_ascendente_D7_b_merge.txt
1000_ascendente_D7_b.txt,quick,1000,ascendente,D7,b,30001,30.002,0,true,data/array_output/1000_ascendente_D7_b_quick.txt
1000_ascendente_D7_b.txt,patience,1000,ascendente,D7,b,6290,6.29064,0,true,data/array_output/1000_ascendente_D7_b_patience.txt
1000_ascendente_D7_b.txt,stdsort,1000,ascendente,D7,b,697,0.697118,0,true,data/array_output/1000_ascendente_D7_b_stdsort.txt
1000_ascendente_D7_c.txt,merge,1000,ascendente,D7,c,1721,1.72148,0,true,data/array_output/1000_ascendente_D7_c_merge.txt
1000_ascendente_D7_c.txt,quick,1000,ascendente,D7,c,28756,28.7568,0,true,data/array_output/1000_ascendente_D7_c_quick.txt
1000_ascendente_D7_c.txt,patience,1000,ascendente,D7,c,5632,5.63289,0,true,data/array_output/1000_ascendente_D7_c_patience.txt
1000_ascendente_D7_c.txt,stdsort,1000,ascendente,D7,c,501,0.501796,0,true,data/array_output/1000_ascendente_D7_c_stdsort.txt
1000_descendente_D1_a.txt,merge,1000,descendente,D1,a,438,0.438872,0,true,data/array_output/1000_descendente_D1_a_merge.txt
1000_descendente_D1_a.txt,quick,1000,descendente,D1,a,8022,8.0226,0,true,data/array_output/1000_descendente_D1_a_quick.txt
1000_descendente_D1_a.txt,patience,1000,descendente,D1,a,1381,1.38155,0,true,data/array_output/1000_descendente_D1_a_patience.txt
1000_descendente_D1_a.txt,stdsort,1000,descendente,D1,a,792,0.792917,0,true,data/array_output/1000_descendente_D1_a_stdsort.txt
1000_descendente_D1_b.txt,merge,1000,descendente,D1,b,1860,1.86032,0,true,data/array_output/1000_descendente_D1_b_merge.txt
1000_descendente_D1_b.txt,quick,1000,descendente,D1,b,6526,6.52689,0,true,data/array_output/1000_descendente_D1_b_quick.txt
1000_descendente_D1_b.txt,patience,1000,descendente,D1,b,1620,1.6202,0,true,data/array_output/1000_descendente_D1_b_patience.txt
